"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Aug 3, 2023",,,
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,,1,"Aug 3, 2023",2,,
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",,,1,"Jul 24, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 11 times by 1 anonymous user","Informatica",,,1,"Jul 14, 2023",,1,11
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jul 5, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Jun 28, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jun 1, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",,,1,"May 30, 2023",,1,5
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",,,1,"May 28, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"May 16, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Apr 27, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Apr 26, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Apr 25, 2023",,1,1
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",,,1,"Mar 30, 2023",,1,3
"/discover/account/detail/a132bd0dce3f13d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","3.14 Digital","India - 3dot14.co","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",,,1,"Mar 29, 2023",,1,2
