"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 2, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 21, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 1, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 31, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 24, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","2 keywords researched a total of 3 times by 2 anonymous users","content hub, taxonomy",2,3,2,"Mar 17, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Feb 28, 2023"
"/discover/account/detail/9eb910010322f51/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","24 Hour Fitness","United States - 24hourfitness.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Feb 27, 2023"
