"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 2 times by 2 anonymous users","hyland",1,2,2,"Aug 8, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","2 keywords researched a total of 2 times by 2 anonymous users","hyland, widen",2,2,2,"Aug 7, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 2, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 30, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 2 times by 2 anonymous users","taxonomy",1,2,2,"Jul 28, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 2 times by 2 anonymous users","content delivery network",1,2,2,"Jul 27, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 25, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 5 times by 1 anonymous user","hyland",1,5,1,"Jul 18, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 17, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","2 keywords researched a total of 3 times by 3 anonymous users","widen, Informatica",2,3,3,"Jul 14, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","3 keywords researched a total of 7 times by 7 anonymous users","dam europe, digital asset management, marketing performance",3,7,7,"Jun 26, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","2 keywords researched a total of 5 times by 2 anonymous users","widen, marketing performance",2,5,2,"Jun 22, 2023",,
"/discover/account/detail/f9310bb52ec2442/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ABB","United States - global.abb","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 18, 2023",,
