"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 9, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 8, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 16, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 15, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 8, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 3, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 21, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 3, 2023"
"/discover/account/detail/82547f7454918f8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acco Brands Corporation","United States - accobrands.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Mar 29, 2023"
