"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","forrester wave",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 25, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Jul 14, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 5, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 1, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 13, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","2 keywords researched a total of 4 times by 1 anonymous user","smartsheet, smartsheet api",2,4,1,"Jun 6, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 5, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 17, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 4 times by 1 anonymous user","marketing performance",1,4,1,"May 15, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 9, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 28, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Apr 24, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Apr 22, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 18, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 8 times by 1 anonymous user","sitecore",1,8,1,"Apr 13, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 8 times by 1 anonymous user","Informatica",1,8,1,"Apr 11, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 6, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 14 times by 1 anonymous user","Informatica",1,14,1,"Mar 30, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 27, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"Mar 23, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 22, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Mar 16, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 3 times by 1 anonymous user","sitecore",1,3,1,"Mar 15, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 2 times by 2 anonymous users","sitecore",1,2,2,"Mar 14, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Mar 12, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, taxonomy",2,2,2,"Mar 8, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","2 keywords researched a total of 4 times by 2 anonymous users","widen, digital asset management",2,4,2,"Mar 5, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",7,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Feb 28, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",1,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",6,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",6,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","9 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",9,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","34 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",34,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",1,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Feb 20, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",1,1
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 18, 2023",,
"/discover/account/detail/04ac03a35ad00f7/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Acuity Brands, Inc.","United States - acuitybrands.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",3,1
