"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 2 times by 2 anonymous users","hyland",1,2,2,"Aug 5, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",2,2,2,"Aug 4, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 27, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 9, 2023",,
"/discover/account/detail/c3bc648d967564e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Adidas","United States - adidas.com","2 keywords researched a total of 2 times by 1 anonymous user","hyland reviews, hyland",2,2,1,"Jul 3, 2023",,
