"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 6, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 4, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, marketing performance",2,2,2,"Aug 3, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 2, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","3 keywords researched a total of 4 times by 3 anonymous users","hyland, Informatica, marketing performance",3,4,3,"Jul 31, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 24, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 19, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 18, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 4 times by 4 anonymous users","widen",1,4,4,"Jul 14, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","2 keywords researched a total of 5 times by 2 anonymous users","opentext, widen",2,5,2,"Jul 11, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Jun 30, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 28, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","2 keywords researched a total of 4 times by 1 anonymous user","opentext alternatives, opentext",2,4,1,"Jun 22, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jun 10, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","2 keywords researched a total of 3 times by 3 anonymous users","widen, workflow automation",2,3,3,"Jun 7, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jun 1, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","2 keywords researched a total of 3 times by 2 anonymous users","sitecore, canto",2,3,2,"May 29, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 26, 2023",,
"/discover/account/detail/db9437010d56af8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advanced Micro Devices, Inc.","United States - amd.com","1 keyword researched a total of 4 times by 1 anonymous user","forrester wave",1,4,1,"May 24, 2023",,
