"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 17, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 9, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jul 2, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","lifecycle analytics",1,1,1,"Jun 26, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 17, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 15, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 5 times by 1 anonymous user","hyland",1,5,1,"Jun 2, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 21, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 29, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 17, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 14, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 13, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Apr 10, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Apr 3, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Apr 2, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Feb 22, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Feb 21, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 20, 2023"
"/discover/account/detail/94608b818288493/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Advantest","United States - advantest.com","1 keyword researched a total of 6 times by 1 anonymous user","taxonomy",1,6,1,"Feb 15, 2023"
