"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed"
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 5 times by 4 anonymous users","hyland",1,5,4,"Aug 8, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 28, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 23, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 5, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 31, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 18, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 17, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 15, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"May 3, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 8, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 6, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 2 times by 2 anonymous users","hyland",1,2,2,"Apr 5, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","2 keywords researched a total of 11 times by 5 anonymous users","widen, hyland",2,11,5,"Apr 4, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 12 times by 9 anonymous users","hyland",1,12,9,"Apr 3, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 30, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 29, 2023",,
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/tenovos-vs-bynder/",,,1,"Mar 28, 2023",1,1
"/discover/account/detail/bc8451e0b86e64a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","American Greetings Corporation","United States - americangreetings.com","1 keyword researched a total of 10 times by 1 anonymous user","digital asset management",1,10,1,"Feb 24, 2023",,
