"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 6, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 1 time by 1 anonymous user","creative asset manager",1,1,1,"Jun 28, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Jun 14, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 10, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Apr 24, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Apr 18, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 5, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Mar 21, 2023"
"/discover/account/detail/7ede493e5cb078d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Amy's Kitchen","United States - amys.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 5, 2023"
