"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, content hub",2,3,2,"Aug 12, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 2 times by 2 anonymous users","opentext, marketing performance",2,2,2,"Aug 10, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 5, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 2, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jul 31, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 30, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, digital asset management",2,3,2,"Jul 26, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, hyland",2,2,2,"Jul 23, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","dam manager",1,2,1,"Jul 11, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 9, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 4, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 9 times by 4 anonymous users","dam europe, taxonomy",2,9,4,"Jun 26, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 24, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 4 times by 2 anonymous users","dam new york, workflow automation",2,4,2,"Jun 19, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, content intelligence",2,2,2,"Jun 15, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 14, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, opentext",2,2,2,"Jun 13, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Jun 10, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 9, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 8, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","4 keywords researched a total of 6 times by 4 anonymous users","smartsheet, widen, workflow automation, content delivery network",4,6,4,"Jun 7, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 3 times by 1 anonymous user","content delivery network",1,3,1,"Jun 4, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 2, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jun 1, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 31, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 30, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 27, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"May 25, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 23, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 21, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 20, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 15, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 8, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 4, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, workflow automation",2,2,2,"Apr 29, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 24, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 19, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 18, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 14, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 11, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Apr 10, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 8, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 5, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 4 times by 2 anonymous users","content hub",1,4,2,"Apr 1, 2023",,
"/discover/account/detail/ab8c00e65660d8d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Analog Devices, Inc.","United States - analog.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 30, 2023",,
