"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Aug 9, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 1, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 26, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 18, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 15 times by 1 anonymous user","Informatica",1,15,1,"Jul 17, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, hyland",2,2,2,"Jul 13, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 12, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 10, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 6, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","2 keywords researched a total of 17 times by 1 anonymous user","informatica tutorials, Informatica",2,17,1,"Jul 5, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Jul 3, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 1, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","2 keywords researched a total of 9 times by 2 anonymous users","Informatica, workflow automation",2,9,2,"Jun 29, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 28, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","2 keywords researched a total of 3 times by 3 anonymous users","sitecore, Informatica",2,3,3,"Jun 27, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 3 times by 3 anonymous users","dam europe",1,3,3,"Jun 26, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jun 24, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","2 keywords researched a total of 2 times by 2 anonymous users","aem, widen",2,2,2,"Jun 22, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 21, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 20, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 17, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 5 times by 1 anonymous user","workflow streamlining",1,5,1,"Jun 15, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jun 13, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, pim",2,2,2,"Jun 12, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 3 times by 2 anonymous users","Informatica",1,3,2,"Jun 8, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 2, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 1, 2023"
"/discover/account/detail/28a8730ab68b36e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Andersen Corporation","United States - andersenwindows.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 30, 2023"
