"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 6, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 3, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jul 31, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jul 25, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 20, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jul 13, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 15, 2023",,
"/discover/account/detail/bdd1d167512f417/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anixter","United States - anixter.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Jun 9, 2023",,
