"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 23, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 3 times by 2 anonymous users","dam new york",1,3,2,"Jun 19, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 15, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 9, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 25, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, widen",2,2,2,"May 5, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 1, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Apr 18, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 6, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","dam solutions",1,1,1,"Mar 25, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 20, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Mar 13, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Mar 7, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 5, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",2,1
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Mar 2, 2023",,
"/discover/account/detail/25feeb07fb602eb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Anritsu","United States - anritsu.com","14 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",14,1
