"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 17, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 29, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 23, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 20, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 16, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"May 15, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"May 12, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Apr 19, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Apr 18, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Apr 17, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Apr 15, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Apr 14, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Apr 13, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Apr 12, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Apr 11, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 27, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 4, 2023"
"/discover/account/detail/5fc5c336681a26c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","AO World","United States - ao.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 1, 2023"
