"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 13, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 12, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 6, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"May 30, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 24, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"May 12, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 1 time by 1 anonymous user","brand integrity",1,1,1,"Apr 22, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 3, 2023"
"/discover/account/detail/43bd513049615fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Aptive Environmental","United States - goaptive.com","2 keywords researched a total of 2 times by 2 anonymous users","content hub, marketing performance",2,2,2,"Apr 1, 2023"
