"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 26, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 19, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 7, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 30, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 9, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 3, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 14, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 13, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 10, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 8, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 6 times by 3 anonymous users","hyland",1,6,3,"Apr 3, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 18, 2023"
"/discover/account/detail/cd605e786afcdd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arhaus","United States - arhaus.com","1 keyword researched a total of 6 times by 1 anonymous user","widen",1,6,1,"Mar 16, 2023"
