"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 6, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Aug 1, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 27, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 24, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","2 keywords researched a total of 2 times by 1 anonymous user","opentext reviews, opentext",2,2,1,"Jul 3, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 19, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jun 16, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 6, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jun 2, 2023",1,1,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jun 2, 2023",1,,1,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 30, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 3 times by 1 anonymous user","forrester wave",1,3,1,"May 22, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 6 times by 1 anonymous user","smartsheet",1,6,1,"May 12, 2023",,,,,
"/discover/account/detail/3f07cb94d5dfe21/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arm","United States - arm.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 5, 2023",,,,,
