"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 1, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 28, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/events/, https://tenovos.com/about/#contacts",,,1,"May 11, 2023",2,2,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/about/#contacts, https://tenovos.com/resources/events/",,,1,"May 11, 2023",2,,3,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 3, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 2, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 1, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 24, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 6, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",,,,1,1
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",,,,1,1
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 19, 2023",,,,,
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",,,,1,1
"/discover/account/detail/fd82bb300c76b60/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Arrow Electronics","United Kingdom - arroweurope.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",,,,1,1
