"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 13, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Aug 7, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 2 times by 2 anonymous users","marketing performance",1,2,2,"Aug 1, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","3 keywords researched a total of 3 times by 3 anonymous users","canto, marketing performance, taxonomy",3,3,3,"Jul 20, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","story insights",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 3, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 4 times by 1 anonymous user","marketing performance",1,4,1,"Jun 30, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 29, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 28, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 3 times by 1 anonymous user","brand collections",1,3,1,"Jun 27, 2023",,
"/discover/account/detail/3718624a33f1dce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ashley Furniture Industries","United States - ashleyfurniture.com","1 keyword researched a total of 4 times by 2 anonymous users","dam europe",1,4,2,"Jun 26, 2023",,
