"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Aug 3, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 4 times by 1 anonymous user","smartsheet",1,4,1,"Jul 19, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Jun 19, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 13, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 16, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 13, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 22, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 10, 2023"
"/discover/account/detail/e6e0cabd254c4a0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Azenta","United States - azenta.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 12, 2023"
