"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 11, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 4, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Apr 27, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Apr 13, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 6, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 3, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 30, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 4 times by 2 anonymous users","digital asset management",1,4,2,"Feb 24, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","8 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",8,1
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","3 keywords researched a total of 11 times by 3 anonymous users","digital asset management trends, digital asset management, content hub",3,11,3,"Feb 23, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","22 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",22,1
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","18 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",18,1
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",7,1
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023",,
"/discover/account/detail/819e9a3ee6d9add/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","B&G Foods, Inc.","United States - bgfoods.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 18, 2023",,
