"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Aug 3, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 1, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 2 times by 1 anonymous user","dam manager",1,2,1,"Jul 11, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 3, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 12, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 5, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"May 31, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 19, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 16, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 8, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Apr 9, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 8, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 3, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 30, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 21, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 19, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Mar 18, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Mar 13, 2023"
"/discover/account/detail/1958b377b460967/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bacardi","United States - bacardi.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Mar 10, 2023"
