"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 21, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 30, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"May 27, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 11, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Apr 28, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Apr 25, 2023",,
"/discover/account/detail/73a560917fd0f90/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bar-S Foods","United States - bar-s.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 23, 2023",,
