"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 2, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"Jun 13, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 10, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 16, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Apr 26, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Apr 4, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Mar 29, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Mar 28, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 15, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 25, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 24, 2023"
"/discover/account/detail/4915ec20449a2de/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Barco NV","United States - barco.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Feb 19, 2023"
