"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 13, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 1 time by 1 anonymous user","Syndigo",1,1,1,"Aug 11, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 29, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jul 24, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Jul 17, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 4 times by 1 anonymous user","marketing performance",1,4,1,"Jun 29, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 21, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 24, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"May 23, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"May 19, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management, digital asset management system",2,2,1,"May 16, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 14, 2023"
"/discover/account/detail/93ea0d112681154/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beachbody, LLC","United States - beachbody.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Mar 26, 2023"
