"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed"
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 3 times by 1 anonymous user","forrester wave",1,3,1,"Jun 20, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 1, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 30, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 16, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 4, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 24, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Apr 8, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 5, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 3, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 31, 2023",,
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",,,1,"Mar 1, 2023",1,1
"/discover/account/detail/0fe07da42b8bec6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beam Suntory","United States - beamsuntory.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Feb 20, 2023",,
