"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 11, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 5, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"Aug 4, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 27, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 24, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","2 keywords researched a total of 6 times by 2 anonymous users","widen, workflow automation",2,6,2,"Jul 15, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/b1f0b6196cbb000/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Beckman Coulter","United States - beckman.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jul 4, 2023",,
