"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Aug 11, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 6, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 12, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 20, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 25, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 6, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 1 time by 1 anonymous user","intelligent content",1,1,1,"Apr 9, 2023",,
"/discover/account/detail/0204f5bc04641da/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Belkin","United States - belkin.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 6, 2023",,
