"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 1, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 19, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","forrester wave",1,1,1,"Jun 7, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 6, 2023",,
"/discover/account/detail/b70f90c16ab47fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Ben E Keith","United States - benekeith.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 20, 2023",,
