"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Aug 5, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","2 keywords researched a total of 2 times by 2 anonymous users","dam europe, marketing performance",2,2,2,"Jun 26, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 27, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 14, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 10, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Apr 20, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 18, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 13, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Apr 5, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 31, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 30, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Mar 12, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 4 times by 1 anonymous user","workflow automation",1,4,1,"Feb 19, 2023"
"/discover/account/detail/7a8c7118316629d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BIC","United States - shopbic.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 18, 2023"
