"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 10, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 19, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jul 12, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 23, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 9, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 13, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 22, 2023"
"/discover/account/detail/b3b56ea2ccdfd9f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Blue Buffalo","United States - bluebuffalo.com","1 keyword researched a total of 1 time by 1 anonymous user","track asset performance",1,1,1,"Feb 18, 2023"
