"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 1, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 25, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 24, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, hyland",2,2,2,"Jul 18, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Jun 21, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 31, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 3, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 30, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 8, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 29, 2023"
"/discover/account/detail/af4ac4c21b0157c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bolthouse Farms","United States - bolthouse.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 24, 2023"
