"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Aug 4, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 7 times by 1 anonymous user","smartsheet",1,7,1,"Jul 28, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Jul 27, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 9, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 2 times by 1 anonymous user","Stibo",1,2,1,"Jul 6, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 25, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","2 keywords researched a total of 6 times by 3 anonymous users","widen, aem",2,6,3,"Jun 22, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 17, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 4, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 3, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"May 23, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 6, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 20, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 10, 2023",,
"/discover/account/detail/a2e83c5715d9abf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Border States","United States - borderstates.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, widen",2,2,2,"Apr 4, 2023",,
