"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 7 times by 1 anonymous user","hyland",1,7,1,"Aug 10, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jul 20, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jul 16, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 8, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 28, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 26, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 21, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 17, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 2, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, workflow automation",2,2,2,"May 31, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 26, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 25, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 19, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 15, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 14, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 12, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, brand integrity",2,2,2,"May 2, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 17, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 14, 2023",,
"/discover/account/detail/fe9582b29751a5b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bosch","United States - bosch.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Apr 12, 2023",,
