"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, smartsheet",2,2,2,"Aug 2, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 31, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","3 keywords researched a total of 4 times by 2 anonymous users","smartsheet, smartsheet pricing, content intelligence",3,4,2,"Jul 25, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 24, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 23, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Jul 21, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Jul 1, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","2 keywords researched a total of 2 times by 2 anonymous users","smartsheet, marketing performance",2,2,2,"Jun 14, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","brand integrity",1,1,1,"Jun 13, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 8, 2023",,
"/discover/account/detail/03488d8c69c5e30/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bose Corporation","United States - bose.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Jun 4, 2023",,
