"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","2 keywords researched a total of 2 times by 2 anonymous users","digital asset management, taxonomy",2,2,2,"Aug 7, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 4, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","2 keywords researched a total of 2 times by 2 anonymous users","dam new york, content hub",2,2,2,"Jun 19, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 17, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 13, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jun 12, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","3 keywords researched a total of 3 times by 1 anonymous user","sitecore dam, sitecore, content hub",3,3,1,"Jun 7, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","3 keywords researched a total of 3 times by 1 anonymous user","sitecore, sitecore dam, content hub",3,3,1,"Jun 6, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 31, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 30, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 26, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 20, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 6, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 27, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 17, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 9, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Apr 6, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 26, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Feb 28, 2023",,
"/discover/account/detail/41c1ca950f1421a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brady Corporation","United States - bradyid.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",2,1
