"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 8, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 3, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 23, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 6 times by 1 anonymous user","aem",1,6,1,"Jul 9, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 11, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 13, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 7, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","forrester wave",1,1,1,"Apr 14, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","asset collections",1,1,1,"Apr 13, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 12, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Apr 11, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 3, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 18, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Mar 1, 2023"
"/discover/account/detail/b233983fcfda533/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Breakthru Beverage Group LLC","United States - breakthrubev.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Feb 17, 2023"
