"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 11, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 6 times by 1 anonymous user","Informatica",1,6,1,"Aug 10, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 20, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 14, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 13, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 18, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 29, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 27, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 26, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 6, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","2 keywords researched a total of 2 times by 2 anonymous users","asset usage data, content hub",2,2,2,"Apr 3, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 2, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Mar 31, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 19, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 10 times by 1 anonymous user","widen",1,10,1,"Mar 8, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 7, 2023"
"/discover/account/detail/ef2e98036e3ff25/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Briggs & Stratton","United States - basco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 16, 2023"
