"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed"
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Aug 14, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 3, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 4 times by 1 anonymous user","sitecore",1,4,1,"Jul 25, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 21, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","2 keywords researched a total of 2 times by 2 anonymous users","opentext, widen",2,2,2,"Jul 14, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 10, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 7, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, sitecore",2,3,2,"Jun 23, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","3 keywords researched a total of 9 times by 4 anonymous users","sitecore, workflow automation, digital asset management",3,9,4,"Jun 20, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Jun 16, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 8, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"May 31, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 20, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"May 12, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"May 10, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 3 times by 1 anonymous user","sitecore",1,3,1,"May 9, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 6 times by 1 anonymous user","sitecore",1,6,1,"May 8, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 5, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 4, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 28, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 22, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 20, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","2 keywords researched a total of 3 times by 1 anonymous user","smartsheet alternatives, smartsheet",2,3,1,"Apr 14, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 13, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/why/dam-solutions-empower-sales-partners/",,,1,"Apr 11, 2023",1,1
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Apr 6, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Mar 27, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Mar 14, 2023",,
"/discover/account/detail/e1208ff71e3c5ad/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Brother International","United States - brother-usa.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 10, 2023",,
