"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 4 times by 2 anonymous users","widen",1,4,2,"Aug 2, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 24, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 4 times by 1 anonymous user","widen",1,4,1,"Jul 18, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 8, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 3 times by 2 anonymous users","dam europe",1,3,2,"Jun 26, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, dam europe",2,2,2,"Jun 6, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 46 times by 1 anonymous user","pim",1,46,1,"May 19, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 4 times by 1 anonymous user","pim",1,4,1,"May 18, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","2 keywords researched a total of 41 times by 2 anonymous users","pim, sitecore",2,41,2,"May 17, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 20 times by 1 anonymous user","pim",1,20,1,"May 16, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 5, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 4, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 29, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 27, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Apr 25, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 13, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Apr 12, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 5, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 4, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 3, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Mar 31, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","2 keywords researched a total of 4 times by 1 anonymous user","digital asset management trends, digital asset management",2,4,1,"Feb 26, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 25, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 24, 2023",,
"/discover/account/detail/2ac0fbc2caff213/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Bunge Limited","United States - bunge.com","2 keywords researched a total of 6 times by 1 anonymous user","digital asset management trends, digital asset management",2,6,1,"Feb 23, 2023",,
