"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Aug 8, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","henry stewart",1,1,1,"Aug 4, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 5 times by 1 anonymous user","workflow automation",1,5,1,"Jul 27, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jul 24, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 20, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 18, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","campaign monitoring",1,1,1,"Jun 14, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 3, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 1, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"May 31, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 28, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 12, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 10, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 6, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Mar 31, 2023"
"/discover/account/detail/b1a5301dd3af347/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","BWXT Technologies, Inc.","United States - bwxt.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 23, 2023"
