"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 18 times by 4 anonymous users","digital asset management",1,18,4,"Aug 11, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 52 times by 5 anonymous users","digital asset management",1,52,5,"Aug 10, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 16 times by 3 anonymous users","digital asset management",1,16,3,"Aug 9, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 30 times by 3 anonymous users","digital asset management",1,30,3,"Aug 8, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 24 times by 4 anonymous users","digital asset management",1,24,4,"Aug 7, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 22 times by 4 anonymous users","digital asset management",1,22,4,"Aug 4, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 24 times by 4 anonymous users","digital asset management",1,24,4,"Aug 3, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 20 times by 2 anonymous users","digital asset management",1,20,2,"Aug 2, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 8 times by 2 anonymous users","digital asset management",1,8,2,"Aug 1, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 20 times by 2 anonymous users","digital asset management",1,20,2,"Jul 31, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 10 times by 2 anonymous users","digital asset management",1,10,2,"Jul 28, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 18 times by 3 anonymous users","digital asset management",1,18,3,"Jul 27, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 20 times by 4 anonymous users","digital asset management",1,20,4,"Jul 26, 2023",,,
"/discover/account/detail/b10283e1a7e1c8e/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cambro Manufacturing","United States - cambro.com","1 keyword researched a total of 20 times by 2 anonymous users","digital asset management",1,20,2,"Jul 25, 2023",,,
