"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Aug 8, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 15, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 3, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Jul 1, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"May 9, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 3 times by 3 anonymous users","widen",1,3,3,"Mar 20, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Mar 17, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Mar 11, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 7, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Feb 21, 2023"
"/discover/account/detail/a2ed02abb39a5ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cash-Wa Distributing","United States - cashwa.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Feb 19, 2023"
