"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 3 times by 2 anonymous users","taxonomy",1,3,2,"Aug 14, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","2 keywords researched a total of 3 times by 2 anonymous users","dam europe, taxonomy",2,3,2,"Aug 10, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","3 keywords researched a total of 4 times by 4 anonymous users","hyland, widen, taxonomy",3,4,4,"Aug 8, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","2 keywords researched a total of 3 times by 2 anonymous users","sitecore, taxonomy",2,3,2,"Aug 7, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 6, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 31, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 26, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","brand integrity",1,1,1,"Jul 25, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 22, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 21, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"Jul 20, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 18, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 16, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","3 keywords researched a total of 6 times by 5 anonymous users","sitecore, widen, taxonomy",3,6,5,"Jul 15, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","2 keywords researched a total of 2 times by 2 anonymous users","taxonomy, digital asset management",2,2,2,"Jul 10, 2023",,,,
"/discover/account/detail/f0ac70298a9325d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CBC","United States - cbc.co","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Jul 8, 2023",,,,
