"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked","impressions","campaigns"
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/the-definitive-guide-to-dam-adoption/",1,1,1,"Aug 14, 2023",,,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, best dam",,,2,"Aug 13, 2023",2,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Aug 9, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",,,1,"Aug 8, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Aug 3, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 5 times by 1 anonymous user","smartsheet",,,1,"Jul 26, 2023",1,5,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/the-definitive-guide-to-dam-adoption/",1,1,1,"Jul 25, 2023",,,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/the-definitive-guide-to-dam-adoption/",1,,1,"Jul 25, 2023",,,1,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jul 22, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 4 times by 2 anonymous users","smartsheet, workflow automation",,,2,"Jul 20, 2023",2,4,,,
