"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 9, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","managing digital assets",1,1,1,"Aug 6, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 4, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 3, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 3 times by 3 anonymous users","hyland",1,3,3,"Jul 31, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 27, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jul 25, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","2 keywords researched a total of 6 times by 2 anonymous users","widen, taxonomy",2,6,2,"Jul 23, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Jul 22, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, content delivery network",2,2,2,"Jul 21, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 15, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","2 keywords researched a total of 8 times by 7 anonymous users","widen, taxonomy",2,8,7,"Jul 14, 2023",,,,
