"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 17, 2023",,,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 5 times by 1 anonymous user","marketing performance",1,5,1,"Jul 12, 2023",,,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 4 times by 1 anonymous user","dam new york",1,4,1,"Jun 19, 2023",,,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Jun 15, 2023",,,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 13, 2023",,,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 5, 2023",,,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/digital-asset-management-roi-productivity/",,,1,"May 21, 2023",1,1,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/digital-asset-management-roi-productivity/",,,1,"May 21, 2023",1,,1
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 18, 2023",,,
"/discover/account/detail/96d02ac620591ce/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clif Bar & Company","United States - clifbar.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 7, 2023",,,
