"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 4 times by 2 anonymous users","sitecore, taxonomy",2,4,2,"Aug 12, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 8, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 30, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",2,2,2,"Jul 25, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 2 times by 2 anonymous users","sitecore",1,2,2,"Jul 23, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 4 times by 2 anonymous users","hyland, taxonomy",2,4,2,"Jul 19, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 18, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 4 times by 4 anonymous users","widen, sitecore",2,4,4,"Jul 14, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","3 keywords researched a total of 5 times by 3 anonymous users","sitecore, marketing performance, digital asset management",3,5,3,"Jul 12, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, hyland",2,2,2,"Jul 10, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 9, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 8, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 7, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 6, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 4 times by 3 anonymous users","content hub, digital asset management",2,4,3,"Jul 4, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 2, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","brand collections",1,1,1,"Jul 1, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","3 keywords researched a total of 7 times by 3 anonymous users","smartsheet, sitecore, dam solutions",3,7,3,"Jun 30, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 2 times by 2 anonymous users","taxonomy, brand collections",2,2,2,"Jun 28, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","3 keywords researched a total of 4 times by 4 anonymous users","dam new york, digital asset management, content hub",3,4,4,"Jun 27, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 10 times by 9 anonymous users","dam europe",1,10,9,"Jun 26, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 24, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 20, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 10, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 9, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",2,2,2,"Jun 7, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","4 keywords researched a total of 8 times by 4 anonymous users","dam europe, best digital asset management software, digital asset management, taxonomy",4,8,4,"Jun 6, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 4, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",2,2,2,"Jun 1, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 19, 2023",,
"/discover/account/detail/4cc8cd2b096ef54/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Clorox Company","United States - clorox.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"May 18, 2023",,
