"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 14, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","2 keywords researched a total of 4 times by 1 anonymous user","workflow automation, marketing workflow automation",2,4,1,"Aug 3, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Aug 1, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jul 25, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jul 23, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jul 19, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 18, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 16, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 1 time by 1 anonymous user","brand collections",1,1,1,"Jul 14, 2023",,,
"/discover/account/detail/d31dc53d36dd422/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coca - Cola Beverages Florida","United States - cocacolaflorida.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 11, 2023",,,
