"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 9, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 28, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Jul 25, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 2 times by 1 anonymous user","content delivery network",1,2,1,"Jul 22, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 26, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 2 times by 1 anonymous user","content delivery network",1,2,1,"Jun 21, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 15, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jun 14, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 13, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 8, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 4 times by 1 anonymous user","widen",1,4,1,"Jun 5, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 2, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 29, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 16, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Mar 28, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Mar 27, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 27, 2023"
"/discover/account/detail/f471525eb842814/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cognex Corporation","United States - cognex.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Feb 25, 2023"
