"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Aug 10, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",1,5,1,"Jul 21, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 11 times by 1 anonymous user","Informatica",1,11,1,"Jul 20, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Jul 18, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 28, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 18, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jun 10, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 9, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"Jun 3, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"May 15, 2023"
"/discover/account/detail/f8a1e305975e2ba/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cohu","United States - cohu.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"May 9, 2023"
