"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 10, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Aug 9, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 23, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 10, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 2, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","2 keywords researched a total of 3 times by 2 anonymous users","dam new york, digital asset management",2,3,2,"Jul 1, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","2 keywords researched a total of 3 times by 2 anonymous users","dam new york, digital asset management",2,3,2,"Jun 27, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 26, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 25, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Jun 19, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 17, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 10 times by 1 anonymous user","digital asset management",1,10,1,"Jun 9, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","2 keywords researched a total of 3 times by 1 anonymous user","marketing performance, digital asset management",2,3,1,"Jun 6, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"May 31, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"May 26, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 22 times by 1 anonymous user","digital asset management",1,22,1,"May 25, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, digital asset management",2,3,2,"May 17, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 6 times by 1 anonymous user","digital asset management",1,6,1,"May 16, 2023"
"/discover/account/detail/57a829a440d5146/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Colgate-Palmolive Company","United States - colgatepalmolive.com","1 keyword researched a total of 10 times by 1 anonymous user","digital asset management",1,10,1,"May 15, 2023"
