"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 4, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","dam renewal",1,1,1,"Jul 11, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 8, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 19, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 17, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 9, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 8, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 8, 2023"
"/discover/account/detail/21c1567ef2a6ab9/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Columbia Distributing LLC","United States - coldist.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 5, 2023"
