"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 9, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 3, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 27, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 2 times by 1 anonymous user","dam manager",1,2,1,"Jun 14, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jun 2, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 28, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 13, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 1 time by 1 anonymous user","henry stewart",1,1,1,"Apr 28, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 4, 2023"
"/discover/account/detail/bb0f15771f0acd0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Compass Group Canada","Canada - compass-canada.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Apr 1, 2023"
