"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Jul 30, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 8, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 1, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 30, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 23, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"May 28, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 26, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 21, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 18, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 13, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","track asset performance",1,1,1,"Apr 5, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 15, 2023"
"/discover/account/detail/ca4b7454b497ab8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Conair Corporation","United States - conair.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 6, 2023"
