"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Aug 11, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 10, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 27, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 25, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 20, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 18, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 10, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 1, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 29, 2023",,
"/discover/account/detail/2a79b620b030d26/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Constellation Brands, Inc.","United States - cbrands.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 27, 2023",,
