"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Aug 3, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 31, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 5, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 25, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","2 keywords researched a total of 3 times by 2 anonymous users","Informatica, pim",2,3,2,"May 16, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 4, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 24, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 16, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 2 times by 1 anonymous user","content delivery network",1,2,1,"Mar 10, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 6, 2023"
"/discover/account/detail/ec66e555c0c14f2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Corbion NV","United States - corbion.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Feb 24, 2023"
