"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 9, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 3 times by 1 anonymous user","workflow automation",1,3,1,"Jul 30, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 10, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","forrester wave",1,1,1,"Jun 27, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 20, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","asset performance data",1,1,1,"Jun 15, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 13, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jun 11, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Jun 10, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 6, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 27, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 18, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 10, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Apr 4, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 3, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 1, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 31, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 27, 2023"
"/discover/account/detail/468c598abb1d889/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Coty, Inc.","United States - coty.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Feb 25, 2023"
