"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 16, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 4 times by 3 anonymous users","canto",1,4,3,"Jul 10, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 7, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Jun 27, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Jun 11, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 4 times by 1 anonymous user","canto",1,4,1,"Jun 10, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"May 28, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 9, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 8, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 26, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 21, 2023"
"/discover/account/detail/a5183ebb4062541/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crane Payment Innovations","United States - cranepi.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Mar 6, 2023"
