"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 8, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 17, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",1,2,1,"Jun 18, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 27, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 18, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"Apr 4, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 1, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 27, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 18, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",1,1
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",3,1
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",4,1
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",1,1
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Feb 22, 2023",,
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",2,1
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",4,1
"/discover/account/detail/bae6936ec57f486/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crayola","United States - crayola.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",3,1
