"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 31, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 1, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 9, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 4, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 23, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 21, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, content hub",2,3,2,"Apr 15, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Mar 31, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 16, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 25, 2023"
"/discover/account/detail/ebda714f6a54cbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cree","United States - cree.com","3 keywords researched a total of 9 times by 2 anonymous users","digital asset management trends, digital asset management, intelligent content",3,9,2,"Feb 23, 2023"
