"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 6, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 1 time by 1 anonymous user","publish assets",1,1,1,"Jul 2, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 25, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 7 times by 1 anonymous user","pim",1,7,1,"Jun 18, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 16, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 1, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 31, 2023",,
"/discover/account/detail/4d1644c89b10e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Crestron Electronics","United States - crestron.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 4, 2023",,
