"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 4, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 18, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 11, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"Jul 3, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","2 keywords researched a total of 2 times by 2 anonymous users","aem, Informatica",2,2,2,"Jun 16, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jun 15, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"May 30, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 12, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","2 keywords researched a total of 3 times by 2 anonymous users","Informatica, canto",2,3,2,"May 5, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Apr 19, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Apr 14, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 8, 2023"
"/discover/account/detail/6dec1a326713f61/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","CTS Corporation","United States - ctscorp.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 4, 2023"
